machine,auc,pauc,f1,threshold,n_normal,n_anomalous
fan/id_00,0.5461425061425061,0.0542997542997543,0.8905908096280087,0.3477114140987396,100,407
fan/id_02,0.8180362116991644,0.29526462395543174,0.9246753246753247,0.5089097619056702,100,359
fan/id_04,0.6289942528735633,0.1218390804597701,0.8812260536398467,0.42700836062431335,100,348
fan/id_06,0.8792243767313019,0.41855955678670353,0.9450261780104712,0.44144248962402344,100,361
