machine,auc,pauc,f1,threshold,n_normal,n_anomalous
pump/id_00,0.6865034965034965,0.1783216783216783,0.7448275862068966,0.5257425308227539,100,143
pump/id_02,0.6313513513513513,0.3117117117117117,0.6894409937888198,0.4043808877468109,100,111
pump/id_04,0.9710000000000001,0.8509999999999999,0.9134615384615384,0.6728988885879517,100,100
pump/id_06,0.776372549019608,0.3137254901960784,0.7336244541484717,0.3932385742664337,100,102
